package,old,new,delta
diyar,0.2.0,0.2.0.9000,*
cli,NA,2.4.0,*
colorspace,NA,2.0-0,*
crayon,NA,1.4.1,*
digest,NA,0.6.27,*
ellipsis,NA,0.3.1,*
fansi,NA,0.4.2,*
farver,NA,2.1.0,*
ggplot2,NA,3.3.3,*
glue,NA,1.4.2,*
isoband,NA,0.2.4,*
labeling,NA,0.4.2,*
lifecycle,NA,1.0.0,*
magrittr,NA,2.0.1,*
pillar,NA,1.6.0,*
R6,NA,2.5.0,*
Rcpp,NA,1.0.6,*
RcppArmadillo,NA,0.10.4.0.0,*
RcppZiggurat,NA,0.1.6,*
Rfast,NA,2.0.1,*
rlang,NA,0.4.10,*
scales,NA,1.1.1,*
tibble,NA,3.1.1,*
utf8,NA,1.2.1,*
vctrs,NA,0.3.7,*
viridisLite,NA,0.4.0,*
withr,NA,2.4.2,*
